Mothers qualification,Fathers qualification,Gender,Curricular units 1st sem (enrolled),Target
13,10,1,0,Dropout
1,3,1,6,Graduate
22,27,1,6,Dropout
23,27,0,6,Graduate
22,28,0,6,Graduate
22,27,1,5,Graduate
13,28,0,7,Graduate
22,27,1,5,Dropout
1,1,0,6,Graduate
1,14,0,6,Dropout
23,14,0,6,Graduate
13,28,0,8,Graduate
13,27,0,6,Dropout
1,1,0,6,Graduate
23,27,0,5,Graduate
13,27,0,6,Dropout
13,1,0,7,Graduate
3,14,0,5,Graduate
1,1,0,0,Graduate
13,14,0,8,Graduate
1,28,0,6,Graduate
13,14,0,7,Graduate
13,28,0,6,Graduate
13,1,0,5,Graduate
27,3,1,6,Graduate
13,1,0,6,Graduate
2,27,1,5,Graduate
23,27,1,7,Dropout
19,27,1,5,Dropout
22,27,0,5,Dropout
13,14,0,5,Graduate
4,4,0,6,Dropout
3,3,0,6,Dropout
3,14,0,5,Graduate
1,3,0,7,Graduate
1,28,0,6,Dropout
22,27,0,5,Dropout
13,14,0,6,Graduate
22,14,0,7,Graduate
1,14,0,6,Graduate
22,28,0,6,Graduate
13,28,0,6,Graduate
22,27,0,5,Graduate
23,28,0,5,Dropout
1,14,0,7,Graduate
1,3,0,6,Dropout
3,3,0,6,Dropout
23,28,0,8,Graduate
13,14,0,7,Graduate
13,1,0,6,Graduate
1,1,1,7,Dropout
13,14,1,0,Graduate
13,27,1,6,Graduate
1,28,1,5,Dropout
22,14,1,7,Graduate
13,14,1,0,Dropout
23,27,1,6,Dropout
23,28,1,6,Graduate
13,14,1,5,Dropout
13,27,1,6,Dropout
1,14,1,6,Graduate
23,27,1,7,Graduate
22,27,1,6,Graduate
13,14,1,6,Dropout
3,3,1,1,Dropout
3,3,1,12,Dropout
22,27,0,6,Graduate
22,28,0,8,Graduate
1,14,0,5,Graduate
13,28,1,6,Graduate
1,1,1,7,Dropout
13,1,0,6,Graduate
1,1,0,6,Dropout
22,24,0,6,Dropout
22,14,0,8,Graduate
22,1,0,6,Graduate
22,27,0,7,Graduate
3,3,0,7,Dropout
23,28,0,10,Dropout
1,1,0,0,Graduate
22,27,0,6,Dropout
22,27,0,18,Graduate
13,14,0,6,Dropout
3,1,0,10,Graduate
22,28,0,6,Dropout
1,1,0,6,Dropout
3,4,0,7,Dropout
22,27,0,6,Graduate
13,14,0,5,Graduate
1,28,0,6,Graduate
22,27,0,7,Dropout
22,28,0,5,Graduate
2,14,0,5,Graduate
1,1,0,6,Dropout
13,14,0,5,Graduate
3,14,0,0,Dropout
23,28,0,5,Graduate
13,28,0,6,Graduate
1,1,0,7,Dropout
22,27,0,6,Graduate
1,29,0,6,Graduate
1,27,0,7,Graduate
13,14,0,7,Dropout
22,27,0,6,Graduate
1,14,0,5,Graduate
1,14,0,7,Dropout
23,27,0,9,Graduate
1,28,0,6,Dropout
13,14,0,5,Graduate
1,1,0,6,Graduate
13,1,0,7,Graduate
22,27,0,7,Graduate
13,1,0,6,Graduate
1,10,0,6,Graduate
13,14,0,7,Graduate
22,28,0,6,Graduate
10,14,0,5,Dropout
