,0,Target
0,Primary Education,Dropout
1,Secondary Education,Graduate
2,Trade School Education,Dropout
3,Trade School Education,Graduate
4,Trade School Education,Graduate
5,Trade School Education,Graduate
6,Primary Education,Graduate
7,Trade School Education,Dropout
8,Secondary Education,Graduate
9,Secondary Education,Dropout
10,Trade School Education,Graduate
11,Primary Education,Graduate
12,Primary Education,Dropout
13,Secondary Education,Graduate
14,Trade School Education,Graduate
15,Primary Education,Dropout
17,Primary Education,Graduate
18,Secondary Education,Graduate
20,Secondary Education,Graduate
22,Primary Education,Graduate
23,Secondary Education,Graduate
24,Primary Education,Graduate
26,Primary Education,Graduate
28,Primary Education,Graduate
31,Trade School Education,Graduate
33,Primary Education,Graduate
34,Secondary Education,Graduate
35,Trade School Education,Dropout
36,Primary Education,Dropout
37,Trade School Education,Dropout
38,Primary Education,Graduate
39,Secondary Education,Dropout
40,Secondary Education,Dropout
41,Secondary Education,Graduate
42,Secondary Education,Graduate
43,Secondary Education,Dropout
44,Trade School Education,Dropout
46,Primary Education,Graduate
47,Trade School Education,Graduate
48,Secondary Education,Graduate
49,Trade School Education,Graduate
50,Primary Education,Graduate
53,Trade School Education,Graduate
54,Trade School Education,Dropout
55,Secondary Education,Graduate
56,Secondary Education,Dropout
57,Secondary Education,Dropout
58,Trade School Education,Graduate
60,Primary Education,Graduate
61,Primary Education,Graduate
65,Secondary Education,Dropout
66,Primary Education,Graduate
67,Primary Education,Graduate
68,Secondary Education,Dropout
71,Trade School Education,Graduate
72,Primary Education,Dropout
73,Trade School Education,Dropout
74,Trade School Education,Graduate
75,Primary Education,Dropout
76,Primary Education,Dropout
77,Secondary Education,Graduate
78,Trade School Education,Graduate
79,Trade School Education,Graduate
80,Primary Education,Dropout
81,Secondary Education,Dropout
82,Secondary Education,Dropout
84,Trade School Education,Graduate
85,Trade School Education,Graduate
86,Secondary Education,Graduate
87,Primary Education,Graduate
90,Secondary Education,Dropout
91,Primary Education,Graduate
92,Secondary Education,Dropout
93,Trade School Education,Dropout
94,Trade School Education,Graduate
96,Trade School Education,Graduate
97,Trade School Education,Graduate
99,Secondary Education,Dropout
100,Trade School Education,Dropout
101,Secondary Education,Graduate
102,Trade School Education,Dropout
103,Trade School Education,Graduate
104,Primary Education,Dropout
105,Secondary Education,Graduate
106,Trade School Education,Dropout
107,Secondary Education,Dropout
108,Secondary Education,Dropout
110,Trade School Education,Graduate
112,Primary Education,Graduate
113,Secondary Education,Graduate
114,Trade School Education,Dropout
118,Trade School Education,Graduate
